Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z
5.975312,4.171671,-0.25941873,-0.014862355,-0.012458342,-0.08964169,-0.009757385,0.3402626
5.975322,4.1715136,-0.25941873,-0.014862355,-0.012458342,-0.089552045,-0.010492817,0.34153998
5.975335,4.171375,-0.2455703,-0.014862355,-0.009262549,-0.09421539,-0.035070717,0.3618284
5.9753485,4.171235,-0.2455703,-0.014862355,-0.009262549,-0.09409177,-0.03571196,0.36297515
5.975367,4.1711097,-0.23172186,-0.012731826,-0.0060667554,-0.1178617,0.0403447,0.3592203
5.975385,4.1709843,-0.23172186,-0.012731826,-0.0060667554,-0.11769055,0.039783105,0.36026138
5.9754057,4.170873,-0.21787342,-0.010601297,-0.0039362265,-0.1366528,0.044089273,0.4042762
5.9754257,4.170763,-0.21787342,-0.010601297,-0.0039362265,-0.13646239,0.043606386,0.40519342
5.975416,4.1706657,-0.20402499,-0.006340239,-0.0018056976,-0.050361454,0.06226567,0.44905573
5.9754066,4.170568,-0.20402499,-0.006340239,-0.0018056976,-0.050452203,0.06176983,0.44982728
5.975408,4.170486,-0.19230708,5.134754e-05,-0.0018056976,-0.107898384,0.10447158,0.4265476
5.9754095,4.170404,-0.19230708,5.134754e-05,-0.0018056976,-0.10788566,0.1040792,0.42721003
5.9754086,4.170335,-0.18165444,0.0075081987,0.0024553603,-0.103107035,0.11810684,0.4229715
5.975407,4.170266,-0.18165444,0.0075081987,0.0024553603,-0.10311931,0.11777057,0.42352453
5.975395,4.170209,-0.17206706,0.017095579,0.0024553603,-0.08886585,0.13182874,0.4143867
5.9753833,4.170151,-0.17206706,0.017095579,0.0024553603,-0.08898026,0.13152082,0.41483268
5.975361,4.170105,-0.16354494,0.028813489,0.0013900958,-0.09397572,0.15039141,0.5109379
5.975339,4.1700583,-0.16354494,0.028813489,0.0013900958,-0.09418368,0.15011132,0.51127684
5.975298,4.1700206,-0.15608808,0.040531397,0.0024553603,-0.05147153,0.17855136,0.54503536
5.9752564,4.1699824,-0.15608808,0.040531397,0.0024553603,-0.05185753,0.17826378,0.5452775
5.9752126,4.1699557,-0.1496965,0.054379836,0.0024553603,-0.06663838,0.17323306,0.47359848
5.975168,4.1699295,-0.1496965,0.054379836,0.0024553603,-0.067050576,0.17299162,0.47374564
